"=""0.99:0.99:-nan(ind)""","=""0.864482:0.987973:-nan(ind)""","=""0.73958:0.986113:-nan(ind)""","=""0.615297:0.984444:-nan(ind)""","=""0.49153:0.983051:-nan(ind)""","=""0.368222:0.981908:-nan(ind)""","=""0.245289:0.981074:-nan(ind)""","=""0.122582:0.980565:0.153183""","=""0:0.980407:0.196983""","=""-0.122582:0.980565:0.153183""","=""-0.245289:0.981074:-nan(ind)""","=""-0.368222:0.981908:-nan(ind)""","=""-0.49153:0.983051:-nan(ind)""","=""-0.615297:0.984444:-nan(ind)""","=""-0.73958:0.986113:-nan(ind)""","=""-0.864482:0.987973:-nan(ind)""",
"=""0.987973:0.864482:-nan(ind)""","=""0.862588:0.862588:-nan(ind)""","=""0.737887:0.86087:-nan(ind)""","=""0.613812:0.859326:-nan(ind)""","=""0.490304:0.858:0.153096""","=""0.367263:0.856949:0.361603""","=""0.244622:0.856181:0.455097""","=""0.122257:0.855706:0.502813""","=""0:0.855548:0.517724""","=""-0.122257:0.855706:0.502813""","=""-0.244622:0.856181:0.455097""","=""-0.367263:0.856949:0.361603""","=""-0.490304:0.858:0.153096""","=""-0.613812:0.859326:-nan(ind)""","=""-0.737887:0.86087:-nan(ind)""","=""-0.862588:0.862588:-nan(ind)""",
"=""0.986113:0.73958:-nan(ind)""","=""0.86087:0.737887:-nan(ind)""","=""0.736319:0.736319:-nan(ind)""","=""0.612427:0.734926:0.291234""","=""0.489152:0.733724:0.47157""","=""0.366403:0.732782:0.573393""","=""0.244047:0.732089:0.635992""","=""0.121948:0.731672:0.670659""","=""0:0.731514:0.681827""","=""-0.121948:0.731672:0.670659""","=""-0.244047:0.732089:0.635992""","=""-0.366403:0.732782:0.573393""","=""-0.489152:0.733724:0.47157""","=""-0.612427:0.734926:0.291234""","=""-0.736319:0.736319:-nan(ind)""","=""-0.86087:0.737887:-nan(ind)""",
"=""0.984444:0.615297:-nan(ind)""","=""0.859326:0.613812:-nan(ind)""","=""0.734926:0.612427:0.291234""","=""0.611217:0.611217:0.502819""","=""0.48816:0.610208:0.623976""","=""0.365628:0.609374:0.703548""","=""0.243513:0.608773:0.755047""","=""0.121681:0.608398:0.784248""","=""0:0.608273:0.793728""","=""-0.121681:0.608398:0.784248""","=""-0.243513:0.608773:0.755047""","=""-0.365628:0.609374:0.703548""","=""-0.48816:0.610208:0.623976""","=""-0.611217:0.611217:0.502819""","=""-0.734926:0.612427:0.291234""","=""-0.859326:0.613812:-nan(ind)""",
"=""0.983051:0.49153:-nan(ind)""","=""0.858:0.490304:0.153096""","=""0.733724:0.489152:0.47157""","=""0.610208:0.48816:0.623976""","=""0.487309:0.487309:0.72461""","=""0.364969:0.486617:0.793727""","=""0.243071:0.486124:0.839404""","=""0.121448:0.485816:0.865583""","=""0:0.485724:0.874112""","=""-0.121448:0.485816:0.865583""","=""-0.243071:0.486124:0.839404""","=""-0.364969:0.486617:0.793727""","=""-0.487309:0.487309:0.72461""","=""-0.610208:0.48816:0.623976""","=""-0.733724:0.489152:0.47157""","=""-0.858:0.490304:0.153096""",
"=""0.981908:0.368222:-nan(ind)""","=""0.856949:0.367263:0.361603""","=""0.732782:0.366403:0.573393""","=""0.609374:0.365628:0.703548""","=""0.486617:0.364969:0.793727""","=""0.364443:0.364443:0.856949""","=""0.242712:0.364059:0.899195""","=""0.121281:0.363834:0.923534""","=""0:0.363751:0.931496""","=""-0.121281:0.363834:0.923534""","=""-0.242712:0.364059:0.899195""","=""-0.364443:0.364443:0.856949""","=""-0.486617:0.364969:0.793727""","=""-0.609374:0.365628:0.703548""","=""-0.732782:0.366403:0.573393""","=""-0.856949:0.367263:0.361603""",
"=""0.981074:0.245289:-nan(ind)""","=""0.856181:0.244622:0.455097""","=""0.732089:0.244047:0.635992""","=""0.608773:0.243513:0.755047""","=""0.486124:0.243071:0.839404""","=""0.364059:0.242712:0.899195""","=""0.242462:0.242462:0.939375""","=""0.121139:0.242295:0.96261""","=""0:0.242236:0.970217""","=""-0.121139:0.242295:0.96261""","=""-0.242462:0.242462:0.939375""","=""-0.364059:0.242712:0.899195""","=""-0.486124:0.243071:0.839404""","=""-0.608773:0.243513:0.755047""","=""-0.732089:0.244047:0.635992""","=""-0.856181:0.244622:0.455097""",
"=""0.980565:0.122582:0.153183""","=""0.855706:0.122257:0.502813""","=""0.731672:0.121948:0.670659""","=""0.608398:0.121681:0.784248""","=""0.485816:0.121448:0.865583""","=""0.363834:0.121281:0.923534""","=""0.242295:0.121139:0.96261""","=""0.121056:0.121056:0.985237""","=""0:0.121039:0.992648""","=""-0.121056:0.121056:0.985237""","=""-0.242295:0.121139:0.96261""","=""-0.363834:0.121281:0.923534""","=""-0.485816:0.121448:0.865583""","=""-0.608398:0.121681:0.784248""","=""-0.731672:0.121948:0.670659""","=""-0.855706:0.122257:0.502813""",
"=""0.980407:0:0.196983""","=""0.855548:0:0.517724""","=""0.731514:0:0.681827""","=""0.608273:0:0.793728""","=""0.485724:0:0.874112""","=""0.363751:0:0.931496""","=""0.242236:0:0.970217""","=""0.121039:0:0.992648""","=""0:0:1""","=""-0.121039:0:0.992648""","=""-0.242236:0:0.970217""","=""-0.363751:0:0.931496""","=""-0.485724:0:0.874112""","=""-0.608273:0:0.793728""","=""-0.731514:0:0.681827""","=""-0.855548:0:0.517724""",
"=""0.980565:-0.122582:0.153183""","=""0.855706:-0.122257:0.502813""","=""0.731672:-0.121948:0.670659""","=""0.608398:-0.121681:0.784248""","=""0.485816:-0.121448:0.865583""","=""0.363834:-0.121281:0.923534""","=""0.242295:-0.121139:0.96261""","=""0.121056:-0.121056:0.985237""","=""0:-0.121039:0.992648""","=""-0.121056:-0.121056:0.985237""","=""-0.242295:-0.121139:0.96261""","=""-0.363834:-0.121281:0.923534""","=""-0.485816:-0.121448:0.865583""","=""-0.608398:-0.121681:0.784248""","=""-0.731672:-0.121948:0.670659""","=""-0.855706:-0.122257:0.502813""",
"=""0.981074:-0.245289:-nan(ind)""","=""0.856181:-0.244622:0.455097""","=""0.732089:-0.244047:0.635992""","=""0.608773:-0.243513:0.755047""","=""0.486124:-0.243071:0.839404""","=""0.364059:-0.242712:0.899195""","=""0.242462:-0.242462:0.939375""","=""0.121139:-0.242295:0.96261""","=""0:-0.242236:0.970217""","=""-0.121139:-0.242295:0.96261""","=""-0.242462:-0.242462:0.939375""","=""-0.364059:-0.242712:0.899195""","=""-0.486124:-0.243071:0.839404""","=""-0.608773:-0.243513:0.755047""","=""-0.732089:-0.244047:0.635992""","=""-0.856181:-0.244622:0.455097""",
